,generic,laundering
music,0.08371040723981901,0.24878048780487785
mutual,0.16968325791855202,0.04390243902439022
navigation times,0.04977375565610862,0.0024390243902439016
near,0.23303167420814488,0.10975609756097555
necessarily,0.1153846153846154,0.01219512195121951
need,0.49999999999999994,0.34390243902439016
news world,0.015837104072398196,0.10243902439024388
newsletters,0.36199095022624433,0.2951219512195122
notice terms,0.07466063348416292,0.007317073170731707
offender,0.002262443438914028,0.06829268292682923
office,0.18552036199095032,0.3512195121951219
officer,0.081447963800905,0.2170731707317072
often,0.1923076923076924,0.08536585365853654
option,0.2601809954751132,0.08048780487804875
order,0.158371040723982,0.3780487804878048
partisan,0.02941176470588236,0.004878048780487803
pas,0.08371040723981901,0.014634146341463402
past,0.21040723981900467,0.10975609756097555
plea,0.009049773755656113,0.1170731707317073
plead,0.009049773755656113,0.16585365853658535
plead guilty,0.006787330316742085,0.15609756097560964
police,0.1289592760180996,0.3926829268292682
policy,0.8303167420814485,0.7512195121951214
policy accessibility,0.04751131221719458,0.009756097560975608
policy choices,0.09502262443438918,0.004878048780487803
policy sell,0.10859728506787336,0.024390243902439022
portfolio,0.13574660633484162,0.034146341463414616
possession,0.006787330316742085,0.07560975609756095
press room,0.1153846153846154,0.004878048780487803
prison,0.018099547511312212,0.36097560975609727
prison sentence,0.009049773755656113,0.13658536585365855
probe,0.01131221719457014,0.13414634146341461
proceeding,0.009049773755656113,0.07804878048780485
proceeds,0.013574660633484172,0.16829268292682925
product,0.3552036199095022,0.06829268292682923
products,0.2714932126696833,0.08048780487804875
professor,0.08371040723981901,0.024390243902439022
property,0.08371040723981901,0.23658536585365844
proposal,0.08371040723981901,0.02926829268292682
prosecute,0.013574660633484172,0.09756097560975606
prosecution,0.01131221719457014,0.12439024390243897
prosecutor,0.013574660633484172,0.21951219512195114
prosecutors,0.004524886877828056,0.08292682926829267
public finance,0.056561085972850686,0.0024390243902439016
quickly,0.11990950226244348,0.02682926829268292
radar,0.14027149321266974,0.03170731707317072
raid,0.004524886877828056,0.07317073170731705
rain,0.14253393665158373,0.04146341463414633
rate,0.2692307692307694,0.10487804878048776
rates,0.12443438914027156,0.017073170731707315
ratings,0.07918552036199096,0.007317073170731707
read,0.332579185520362,0.5073170731707315
reading main,0.04977375565610862,0.0024390243902439016
really,0.16289592760181,0.06829268292682923
recent,0.29411764705882354,0.15121951219512192
release,0.1289592760180996,0.3121951219512193
repair,0.06787330316742084,0.009756097560975608
representative,0.07013574660633486,0.02926829268292682
republican,0.08823529411764706,0.034146341463414616
republicans,0.08371040723981901,0.009756097560975608
research,0.25791855203619923,0.10243902439024388
retirement,0.16968325791855202,0.051219512195121934
rise,0.2556561085972852,0.12195121951219506
risk,0.32579185520362003,0.1756097560975609
rugby,0.009049773755656113,0.09512195121951215
sale site,0.04977375565610862,0.0024390243902439016
saving,0.16968325791855202,0.034146341463414616
saving account,0.08823529411764706,0.0024390243902439016
savings,0.13574660633484162,0.014634146341463402
savings accounts,0.08371040723981901,0.007317073170731707
say,0.4977375565610863,0.6829268292682922
scheme,0.015837104072398196,0.2146341463414634
seat,0.04072398190045249,0.017073170731707315
sector,0.14027149321266974,0.05609756097560974
seize,0.01131221719457014,0.1292682926829268
sell,0.40045248868778277,0.270731707317073
senate,0.11312217194570137,0.03658536585365852
senator,0.07692307692307696,0.024390243902439022
sentence,0.02262443438914028,0.45609756097560966
sentence year,0.006787330316742085,0.14634146341463405
serve,0.11312217194570137,0.27560975609756094
serve year,0.002262443438914028,0.07560975609756095
side,0.16742081447963814,0.05609756097560974
site index,0.054298642533936674,0.007317073170731707
